FileConf	FileName.x	TotalReads	Configuration.x	FwdRev	OTUID	variable	value	FileName.y	Configuration.y	Normalized	Isolate
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Ec5002	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	2	SRR8060827_1	trim50_synthetic16S	0.2	SRR8060827
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Ec5003	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR8060827_1	trim50_synthetic16S	0	SRR8060827
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Ec5004	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR8060827_1	trim50_synthetic16S	0.1	SRR8060827
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Ec5005	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR8060827_1	trim50_synthetic16S	0	SRR8060827
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Ec5501	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR8060827_1	trim50_synthetic16S	0	SRR8060827
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Ec5502	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR8060827_1	trim50_synthetic16S	0.1	SRR8060827
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Ec6001	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR8060827_1	trim50_synthetic16S	0.1	SRR8060827
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Ga5501	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	43	SRR8060827_1	trim50_synthetic16S	4.3	SRR8060827
SRR8060827_1_trim50_synthetic16S	SRR8060827_1	1390532	trim50_synthetic16S	foward	Tb5501	SRR8060827_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	7	SRR8060827_1	trim50_synthetic16S	0.7	SRR8060827
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Bv5501	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	5	SRR896066_1	trim50_synthetic16S	0.131578947368421	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Ca5501	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	38	SRR896066_1	trim50_synthetic16S	1	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Ec5001	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR896066_1	trim50_synthetic16S	0	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Ec5002	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR896066_1	trim50_synthetic16S	0	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Ec5003	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR896066_1	trim50_synthetic16S	0	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Ec5004	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR896066_1	trim50_synthetic16S	0.0263157894736842	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Ec5005	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR896066_1	trim50_synthetic16S	0	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Ec5501	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR896066_1	trim50_synthetic16S	0	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Ec5502	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR896066_1	trim50_synthetic16S	0	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Ec6001	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR896066_1	trim50_synthetic16S	0.0263157894736842	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Ga5501	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	9	SRR896066_1	trim50_synthetic16S	0.236842105263158	SRR896066
SRR896066_1_trim50_synthetic16S	SRR896066_1	4113167	trim50_synthetic16S	foward	Tb5501	SRR896066_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1106	SRR896066_1	trim50_synthetic16S	29.1052631578947	SRR896066
